Voice;Ref;Pred_Raw;Pred_LLM;WER_Raw;WER_LLM;Time_ASR;Time_LLM;Time_Total
sample_000.wav;Tim-tim virtual memiliki standar keunggulan yang sama dengan tim konvensional, tetapi ada sedikit perbedaan.; Tim tim virtual memiliki standard keunggulan yang sama dengan tim konfensional, tetapi ada sedikit perbedaan.;Tim virtual memiliki standard keunggulan yang sama dengan tim konfensional, tetapi ada sedikit perbedaan.;0,28571429;0,21428571;2,69591999;8,17366195;10,86958194
sample_001.wav;Segera setelah permusuhan pecah, Britania memulai blokade laut Jerman.; Segera setelah permusuhan pecah, pita nih yang memulai blokad ilau cerman.;Segera setelah permusuhan pecah, pita yang memulai blokad ilau cerman.;0,66666667;0,55555556;0,67766428;1,67855287;2,35621715
sample_002.wav;Semua nomina, di samping kata Sie untuk Anda, selalu dimulai dengan huruf kapital, bahkan di tengah kalimat.; semua nominah di sampen rata sih untuk anda selalu dimulai dengan hokkapital bahkan di tengah kalimat;Seamua nominah di sampen rata sih untuk Anda selalu dimulai dengan huruf kapital, bahkan di tengah kalimat.;0,47058824;0,35294118;0,69873953;1,80286360;2,50160313
sample_003.wav;Ini sepertinya masuk akal, karena Bumi tidak terasa seperti bergerak, bukan begitu?; ini sepertinya masuk akal karena kami tidak terasa seperti perkara bukan begitu;Ini sepertinya masuk akal karena kami tidak merasa seperti itu.;0,33333333;0,50000000;0,48391008;1,54520059;2,02911067
sample_004.wav;Di sisi lain, kondisi yang dingin dan bersalju tergolong normal di banyak negara dan lalu lintas terus berlanjut tanpa gangguan sepanjang tahun.; diisisi lain, kondisi yang tingin dan persaal juter kolong normal dipanya negara dan lalu dintas terus berlangjut tanpa pengguan sepanjang tahun.;Disisi lain, kondisi yang tingin dan persaal juter kolong normal dipanya negara dan lalu dintas terus berlangjut tanpa pengguan sepanjang tahun.;0,50000000;0,50000000;1,04220414;2,58641815;3,62862229
sample_005.wav;Kambing tampaknya mulai dijinakkan sekitar 10.000 tahun lalu di pegunungan Zagros di Iran.; Kambentan banyak mulai diginakan sekitar seuluh riputau nalutip konongan saya across di Iran.;Kambentan banyak mulai diginakan sekitar seuluh riputau nalutip konongan saya across di Iran.;0,69230769;0,69230769;0,70701289;1,78687334;2,49388623
sample_006.wav;Di kepulauan dan danau, Anda tidak perlu kapal pesiar.; di kebuluhan dan danau anda tidak perlu kapal kesiara;Di kebuluhan dan danau Anda tidak perlu kapal kira-kira.;0,33333333;0,33333333;0,44213748;1,73627114;2,17840862
sample_007.wav;Pemberitahuan reguler di Metro hanya menggunakan bahasa Katalan, tetapi gangguan tak terencana diumumkan lewat sistem otomatis dalam berbagai bahasa, antara lain Spanyol, Inggris, Prancis, Arab, dan Jepang.; Tom beritahuan reguler di metro hanya menggunakan fahasah katalan tetapi gangguan tak terencana diunumkan mewak sistem otomatis dalam berbagai pahasah, antara lain sepanol, ingriis, pransis, arah dan cepan.;Tom beritahuan reguler di metro hanya menggunakan fahasah katalan, tetapi gangguan tak terencana diunumkan mewak sistem otomatis dalam berbagai pahasah, antara lain sepanol, ingriis, pransis, arah, dan cepan.;0,44444444;0,40740741;1,52869797;3,43723536;4,96593332
sample_008.wav;Ini adalah salah satu atraksi utama Afrika Selatan dan dianggap sebagai andalan Taman Nasional Afrika Selatan (SANParks).; Ini adalah salah satu atrak di utama Afrika Selatan dan diangkapsip ke Anggalan Taman najuna Afrika Selatan, dengan guru-sandpap.;Ini adalah salah satu atrak di utama Afrika Selatan dan diangkapsip ke Anggalan Taman Najuna Afrika Selatan, dengan guru-sandpap.;0,52941176;0,52941176;0,94282269;1,93713903;2,87996173
sample_009.wav;Mereka memiliki kaki dengan sisik dan cakar, bertelur, dan berjalan dengan dua kaki belakang seperti T-Rex.; mereka mau laki-laki dengan sesi dan jakar untuk keluar dan perjalan dengan dua gaki pelakang seperti terakhir.;Açıknya mau laki-laki dengan sesi dan jakar untuk keluar dan perjalan dengan dua gaki pelakang seperti terakhir.;0,62500000;0,68750000;0,68358755;1,78980589;2,47339344
