Voice;Ref;Pred_Raw;Pred_LLM;WER_Raw;WER_LLM;Time_ASR;Time_LLM;Time_Total
sample_000.wav;Tim-tim virtual memiliki standar keunggulan yang sama dengan tim konvensional, tetapi ada sedikit perbedaan.; Tim tim virtual memiliki standard keunggulan yang sama dengan tim konfensional, tetapi ada sedikit perbedaan.;Teman-teman virtual mempunyai keunikan yang sama seperti tim bermain konferensi mereka, namun terdapat sedikit perbedaan.;0,28571429;0,71428571;0,37453818;1,34724736;1,72178555
sample_001.wav;Segera setelah permusuhan pecah, Britania memulai blokade laut Jerman.; Segera setelah permusuhan pecah, pita nih yang memulai blokad ilau cerman.;Segera setelah permusuhan pecah, pita yang memulai blokad ilu-ialu mencerminkan.;0,66666667;0,55555556;0,32233858;1,48838949;1,81072807
sample_002.wav;Semua nomina, di samping kata Sie untuk Anda, selalu dimulai dengan huruf kapital, bahkan di tengah kalimat.; semua nominah di sampen rata sih untuk anda selalu dimulai dengan hokkapital bahkan di tengah kalimat;"Teks Anda sudah benar-benar baik, tidak memerlukan perubahan. Tanda baca dan huruf kapital telah sesuai dan lengkap. Tekst Anda sekarang seperti ini:

""Semua nomina hampir sampai rata untuk anda selalu dimulai dengan kapital bahkan di tengah kalimat""

Tanda baca dan huruf kapital sudah benar.";0,47058824;2,23529412;0,36461473;2,93395567;3,29857039
sample_003.wav;Ini sepertinya masuk akal, karena Bumi tidak terasa seperti bergerak, bukan begitu?; ini sepertinya masuk akal karena kami tidak terasa seperti perkara bukan begitu;Ini sepertinya tampaknya kurang tepat karena kita merasa tidak seperti keadaan sebenarnya, tapi itu sebenarnya.;0,33333333;0,91666667;0,40441728;1,32269907;1,72711635
sample_004.wav;Di sisi lain, kondisi yang dingin dan bersalju tergolong normal di banyak negara dan lalu lintas terus berlanjut tanpa gangguan sepanjang tahun.; diisisi lain, kondisi yang tingin dan persaal juter kolong normal dipanya negara dan lalu dintas terus berlangjut tanpa pengguan sepanjang tahun.;Diisi Lain, Kondisi Tidak Ditentu Dan Persaudara Juter Kolong Normal Dipunya Negara Lalu Dintas Terus Berlangjut Tanpa Penggunaan Sepanjang Tahun.;0,50000000;0,59090909;0,65998816;1,77997851;2,43996668
sample_005.wav;Kambing tampaknya mulai dijinakkan sekitar 10.000 tahun lalu di pegunungan Zagros di Iran.; Kambentan banyak mulai diginakan sekitar seuluh riputau nalutip konongan saya across di Iran.;Kambenit, banyak mulanya diginakan sekitar seruul riputan nalutupi konongan saya diberhantam di Iran.;0,69230769;0,76923077;0,81398296;1,08919358;1,90317655
sample_006.wav;Di kepulauan dan danau, Anda tidak perlu kapal pesiar.; di kebuluhan dan danau anda tidak perlu kapal kesiara;Di kebun halaman Anda tidak memerlukan kapal keseharian.;0,33333333;0,55555556;0,37897778;0,94080830;1,31978607
sample_007.wav;Pemberitahuan reguler di Metro hanya menggunakan bahasa Katalan, tetapi gangguan tak terencana diumumkan lewat sistem otomatis dalam berbagai bahasa, antara lain Spanyol, Inggris, Prancis, Arab, dan Jepang.; Tom beritahuan reguler di metro hanya menggunakan fahasah katalan tetapi gangguan tak terencana diunumkan mewak sistem otomatis dalam berbagai pahasah, antara lain sepanol, ingriis, pransis, arah dan cepan.;Tom beritahu secara reguler di metro hanya menggunakan fahasa katalan tetapi gangguan tak terencana ditemukan oleh sistem otomatis dalam berbagai pahasas, antara lain sepenuhnya, Inggris, Prancis, Arjuna dan cepat.;0,44444444;0,40740741;0,83070922;1,94907689;2,77978611
sample_008.wav;Ini adalah salah satu atraksi utama Afrika Selatan dan dianggap sebagai andalan Taman Nasional Afrika Selatan (SANParks).; Ini adalah salah satu atrak di utama Afrika Selatan dan diangkapsip ke Anggalan Taman najuna Afrika Selatan, dengan guru-sandpap.;Ini adalah salah satu atraksi di antara yang paling menarik di Africa Selatan, dan telah dikelola oleh pemerintah melalui Taman Nasional Tanjung Lesang Afrika Selatan.;0,52941176;1,00000000;0,53100801;1,49645543;2,02746344
sample_009.wav;Mereka memiliki kaki dengan sisik dan cakar, bertelur, dan berjalan dengan dua kaki belakang seperti T-Rex.; mereka mau laki-laki dengan sesi dan jakar untuk keluar dan perjalan dengan dua gaki pelakang seperti terakhir.;Mereka mau laki-laki dengan sesi dan jaket untuk keluar dan pergi dengan dua pita pelat sebelah seperti pada pertama kali.;0,62500000;0,81250000;0,37568188;1,19141960;1,56710148
