Voice;Ref;Pred_Raw;Pred_LLM;WER_Raw;WER_LLM;Time_ASR;Time_LLM;Time_Total
sample_000.wav;Tim-tim virtual memiliki standar keunggulan yang sama dengan tim konvensional, tetapi ada sedikit perbedaan.; Tim tim virtual memiliki standard keunggulan yang sama dengan tim konfensional, tetapi ada sedikit perbedaan.;"Tentu saja, berikut adalah hasil transkripsi Anda di atas:

Tim tim virtual memiliki keunggulannya yang sama dengan tim konferensional, tetapi terdapat sedikit perbedaan.";0,28571429;1,07142857;0,59856844;1,64411807;2,24268651
sample_001.wav;Segera setelah permusuhan pecah, Britania memulai blokade laut Jerman.; Segera setelah permusuhan pecah, pita nih yang memulai blokad ilau cerman.;Segera setelah permusyawarannya pecah, pita itu yang memulainya blokades ilustrasinya cerah dan terang.;0,66666667;1,11111111;0,58070397;1,43053150;2,01123548
sample_002.wav;Semua nomina, di samping kata Sie untuk Anda, selalu dimulai dengan huruf kapital, bahkan di tengah kalimat.; semua nominah di sampen rata sih untuk anda selalu dimulai dengan hokkapital bahkan di tengah kalimat;Semua nomeran di sampa tuh rata sih untuk anda selalu dimulai dengan harapkala bahkan di tengah kalimat.;0,47058824;0,47058824;0,48435521;1,20444512;1,68880033
sample_003.wav;Ini sepertinya masuk akal, karena Bumi tidak terasa seperti bergerak, bukan begitu?; ini sepertinya masuk akal karena kami tidak terasa seperti perkara bukan begitu;Ini mungkin benar karena kami tidak merasakan itu.;0,33333333;0,75000000;0,33017373;0,71648836;1,04666209
sample_004.wav;Di sisi lain, kondisi yang dingin dan bersalju tergolong normal di banyak negara dan lalu lintas terus berlanjut tanpa gangguan sepanjang tahun.; diisisi lain, kondisi yang tingin dan persaal juter kolong normal dipanya negara dan lalu dintas terus berlangjut tanpa pengguan sepanjang tahun.;diaisiti lain, keadaan tetap dan pertunjukan jauhkan keluar dari negeri tersebut lalu dinyet selalu berkembang tanpa adanya bantuan setiap tahun.;0,50000000;0,81818182;0,72518539;1,53898859;2,26417398
sample_005.wav;Kambing tampaknya mulai dijinakkan sekitar 10.000 tahun lalu di pegunungan Zagros di Iran.; Kambentan banyak mulai diginakan sekitar seuluh riputau nalutip konongan saya across di Iran.;Karena terlalu banyak mulai digenapkan sekitar satu perliputan kongkret dari tangan saya melalui Iran.;0,69230769;0,84615385;0,55279422;1,16109514;1,71388936
sample_006.wav;Di kepulauan dan danau, Anda tidak perlu kapal pesiar.; di kebuluhan dan danau anda tidak perlu kapal kesiara;Di kebun tua dan sawah Anda tidak perlu kapal kayu.;0,33333333;0,44444444;0,27660251;0,80784202;1,08444452
sample_007.wav;Pemberitahuan reguler di Metro hanya menggunakan bahasa Katalan, tetapi gangguan tak terencana diumumkan lewat sistem otomatis dalam berbagai bahasa, antara lain Spanyol, Inggris, Prancis, Arab, dan Jepang.; Tom beritahuan reguler di metro hanya menggunakan fahasah katalan tetapi gangguan tak terencana diunumkan mewak sistem otomatis dalam berbagai pahasah, antara lain sepanol, ingriis, pransis, arah dan cepan.;Tom bersyarat bahwa layanan transpor metro hanya menggunakan bahasa katalan tetapi gangguan teknis tidak terdeteksi oleh sistem otomatis diumumkan dalam berbagai bahasa seperti: Sepanjang, Inggris, Prancis, dan Alphabets.;0,44444444;0,62962963;0,69663215;1,95549297;2,65212512
sample_008.wav;Ini adalah salah satu atraksi utama Afrika Selatan dan dianggap sebagai andalan Taman Nasional Afrika Selatan (SANParks).; Ini adalah salah satu atrak di utama Afrika Selatan dan diangkapsip ke Anggalan Taman najuna Afrika Selatan, dengan guru-sandpap.;Ini adalah salah satu atraksi teratas di Afrika Selatan dan dimasukkan dalam Ajaran Taman Najuna Afrika Selatan, oleh guru-sandapan.;0,52941176;0,52941176;0,47087312;1,24847579;1,71934891
sample_009.wav;Mereka memiliki kaki dengan sisik dan cakar, bertelur, dan berjalan dengan dua kaki belakang seperti T-Rex.; mereka mau laki-laki dengan sesi dan jakar untuk keluar dan perjalan dengan dua gaki pelakang seperti terakhir.;Mereka membutuhkan laki-laki dengan sepatu dan jaket keluar, kemudian pergi dengan dua kaki belakang yang berbeda seperti terakhir.;0,62500000;0,62500000;0,38272285;1,37236977;1,75509262
