Voice;Ref;Pred_Raw;Pred_LLM;WER_Raw;WER_LLM;Time_ASR;Time_LLM;Time_Total
sample_000.wav;Tim-tim virtual memiliki standar keunggulan yang sama dengan tim konvensional, tetapi ada sedikit perbedaan.; Tim tim virtual memiliki standard keunggulan yang sama dengan tim konfensional, tetapi ada sedikit perbedaan.;Tim-tim virtual memiliki standar keunggulan yang sama dengan tim konferensional, tapi ada sedikit perbedaan.;0,28571429;0,14285714;2,50892806;13,67448711;16,18341517
sample_001.wav;Segera setelah permusuhan pecah, Britania memulai blokade laut Jerman.; Segera setelah permusuhan pecah, pita nih yang memulai blokad ilau cerman.;Segera setelah permusuhan pecah, pita ini yang memulai blokannya.;0,66666667;0,55555556;0,54903650;0,74056602;1,28960252
sample_002.wav;Semua nomina, di samping kata Sie untuk Anda, selalu dimulai dengan huruf kapital, bahkan di tengah kalimat.; semua nominah di sampen rata sih untuk anda selalu dimulai dengan hokkapital bahkan di tengah kalimat;Semua nomor di sini rata-rata untuk Anda selalu dimulai dengan kata-kata yang berharga, bahkan di tengah kalimat.;0,47058824;0,47058824;0,44288087;0,90598536;1,34886622
sample_003.wav;Ini sepertinya masuk akal, karena Bumi tidak terasa seperti bergerak, bukan begitu?; ini sepertinya masuk akal karena kami tidak terasa seperti perkara bukan begitu;Ini sepertinya masuk akal karena kami tidak merasakan seperti halnya bukan.;0,33333333;0,50000000;0,29582167;0,64252114;0,93834281
sample_004.wav;Di sisi lain, kondisi yang dingin dan bersalju tergolong normal di banyak negara dan lalu lintas terus berlanjut tanpa gangguan sepanjang tahun.; diisisi lain, kondisi yang tingin dan persaal juter kolong normal dipanya negara dan lalu dintas terus berlangjut tanpa pengguan sepanjang tahun.;Di sisi lain, kondisi yang dingin dan bersalju tergolong normal. Dipunya negara dan lalu dintas terus berlanjut tanpa penggunaan sepanjang tahun.;0,50000000;0,22727273;1,10064554;1,10952330;2,21016884
sample_005.wav;Kambing tampaknya mulai dijinakkan sekitar 10.000 tahun lalu di pegunungan Zagros di Iran.; Kambentan banyak mulai diginakan sekitar seuluh riputau nalutip konongan saya across di Iran.;Karena banyak mulai digunakan sekitar satu puluh ratus tahun lalu, konsultasi saya tentang Iran.;0,69230769;0,84615385;0,70676494;0,78241563;1,48918056
sample_006.wav;Di kepulauan dan danau, Anda tidak perlu kapal pesiar.; di kebuluhan dan danau anda tidak perlu kapal kesiara;Di kebun danau Anda tidak perlu kapal kesayangan.;0,33333333;0,44444444;0,34627581;0,62920713;0,97548294
sample_007.wav;Pemberitahuan reguler di Metro hanya menggunakan bahasa Katalan, tetapi gangguan tak terencana diumumkan lewat sistem otomatis dalam berbagai bahasa, antara lain Spanyol, Inggris, Prancis, Arab, dan Jepang.; Tom beritahuan reguler di metro hanya menggunakan fahasah katalan tetapi gangguan tak terencana diunumkan mewak sistem otomatis dalam berbagai pahasah, antara lain sepanol, ingriis, pransis, arah dan cepan.;Tom beritahu reguler di Metro hanya menggunakan bahasa Katalan tetapi gangguan tak terencana ditemukan dalam sistem otomatis dalam berbagai pihak, antara lain Sepanjang, Inggris, Prancis, Arus dan cepat.;0,44444444;0,33333333;1,53488755;1,39221168;2,92709923
sample_008.wav;Ini adalah salah satu atraksi utama Afrika Selatan dan dianggap sebagai andalan Taman Nasional Afrika Selatan (SANParks).; Ini adalah salah satu atrak di utama Afrika Selatan dan diangkapsip ke Anggalan Taman najuna Afrika Selatan, dengan guru-sandpap.;Ini adalah salah satu atraksi terkemuka di Afrika Selatan. Dibandingkan dengan taman-taman lainnya, Afganistan Taman Najuna di Afrika Selatan memiliki keunikan tersendiri.;0,52941176;0,76470588;0,75531387;1,16125846;1,91657233
sample_009.wav;Mereka memiliki kaki dengan sisik dan cakar, bertelur, dan berjalan dengan dua kaki belakang seperti T-Rex.; mereka mau laki-laki dengan sesi dan jakar untuk keluar dan perjalan dengan dua gaki pelakang seperti terakhir.;Mereka mau laki-laki dengan sepatu dan jaket untuk keluar dan pergi dengan dua jari belakang seperti yang pertama.;0,62500000;0,62500000;0,59096909;0,83460021;1,42556930
